date,notifications,cases_directly_averted_perfect,cases_directly_averted_80_percent,cases_directly_averted_60_percent,cases_directly_averted_40_percent,cases_directly_averted_20_percent
2021-12-12,56395,2303.6964167293077,1842.9571333834463,1382.2178500375846,921.4785666917231,460.73928334586157
2021-12-13,65681,2761.918220431234,2209.5345763449873,1657.1509322587406,1104.7672881724936,552.3836440862468
2021-12-14,89424,3780.2850915527283,3024.2280732421827,2268.1710549316367,1512.1140366210914,756.0570183105457
2021-12-15,99656,4158.114354765695,3326.491483812556,2494.8686128594168,1663.245741906278,831.622870953139
2021-12-16,109885,4479.752477511904,3583.8019820095233,2687.851486507142,1791.9009910047616,895.9504955023808
2021-12-17,108957,4338.64532047381,3470.9162563790483,2603.187192284286,1735.4581281895241,867.7290640947621
2021-12-18,96697,3784.5696595138656,3027.6557276110925,2270.7417957083194,1513.8278638055463,756.9139319027731
2021-12-19,87866,3399.2835131605652,2719.4268105284523,2039.570107896339,1359.7134052642261,679.8567026321131
2021-12-20,88113,3372.501189113787,2698.0009512910297,2023.5007134682721,1349.0004756455148,674.5002378227574
2021-12-21,100772,3810.6944470790495,3048.5555576632396,2286.4166682474297,1524.2777788316198,762.1388894158099
2021-12-22,112566,4204.532321261754,3363.6258570094033,2522.7193927570524,1681.8129285047016,840.9064642523508
2021-12-23,98916,3666.135570104076,2932.908456083261,2199.6813420624458,1466.4542280416306,733.2271140208153
2021-12-24,93294,3465.229947552022,2772.183958041618,2079.137968531213,1386.091979020809,693.0459895104045
2021-12-25,50513,1903.226400168826,1522.581120135061,1141.9358401012955,761.2905600675305,380.64528003376523
2021-12-26,49580,1914.164706625595,1531.331765300476,1148.498823975357,765.665882650238,382.832941325119
2021-12-27,70397,2784.4261912673696,2227.540953013896,1670.6557147604217,1113.770476506948,556.885238253474
2021-12-28,146010,5858.578551542528,4686.862841234022,3515.1471309255166,2343.431420617011,1171.7157103085055
2021-12-29,85320,3417.6598607970054,2734.1278886376044,2050.595916478203,1367.0639443188022,683.5319721594011
2021-12-30,78508,3065.248066375475,2452.19845310038,1839.148839825285,1226.09922655019,613.049613275095
2021-12-31,94113,3454.0493508300187,2763.239480664015,2072.4296104980112,1381.6197403320075,690.8098701660037
2022-01-01,80627,2652.894462958471,2122.315570366777,1591.7366777750826,1061.1577851833886,530.5788925916943
2022-01-02,87567,2462.7708660035278,1970.2166928028223,1477.6625196021166,985.1083464014112,492.5541732007056
2022-01-03,93900,2205.0598437962894,1764.0478750370316,1323.0359062777736,882.0239375185158,441.0119687592579
2022-01-04,91519,1800.1553861170516,1440.1243088936415,1080.093231670231,720.0621544468207,360.03107722341036
2022-01-05,85653,1438.501537961765,1150.801230369412,863.100922777059,575.400615184706,287.700307592353
2022-01-06,79813,1173.8998711223257,939.1198968978606,704.3399226733954,469.5599484489303,234.77997422446515
2022-01-07,76351,1012.5716006551019,810.0572805240815,607.5429603930611,405.02864026204077,202.51432013102038
